table,row_hint,field,issue,generated_in_mode
customers,row#7914 (Allison generated),email,null email,initial
customers,row#7933,phone,missing phone number,initial
customers,row#7936,phone,missing phone number,initial
customers,row#7957 (Andrew generated),email,null email,initial
customers,row#7967 (Allen generated),email,null email,initial
customers,row#7975,phone,missing phone number,initial
customers,row#8004 (David generated),email,null email,initial
customers,row#8005,phone,missing phone number,initial
customers,row#8016 (Travis generated),email,null email,initial
customers,row#8065,phone,missing phone number,initial
customers,row#8080,phone,missing phone number,initial
customers,row#8082 (Eric generated),email,null email,initial
customers,row#8086,phone,missing phone number,initial
customers,row#8093 (Tyler generated),email,null email,initial
customers,row#8102 (Angela generated),email,null email,initial
customers,row#8129 (Susan generated),email,null email,initial
customers,row#8132 (Brett generated),email,null email,initial
customers,row#8139 (Wayne generated),email,null email,initial
customers,row#8158 (Sydney generated),email,null email,initial
customers,row#8161,phone,missing phone number,initial
customers,row#8163 (Nicole generated),email,null email,initial
customers,row#8178 (Elizabeth generated),email,null email,initial
customers,row#8181,phone,missing phone number,initial
customers,row#8188,phone,missing phone number,initial
customers,row#8189,phone,missing phone number,initial
customers,row#8200 (Joseph generated),email,null email,initial
customers,row#8203,phone,missing phone number,initial
customers,row#8217,phone,missing phone number,initial
customers,row#8234,phone,missing phone number,initial
customers,row#8237,phone,missing phone number,initial
customers,row#8242 (Julie generated),email,null email,initial
customers,row#8261,phone,missing phone number,initial
customers,row#8263 (Angela generated),email,null email,initial
customers,row#8263,phone,missing phone number,initial
customers,row#8265 (Gary generated),email,null email,initial
customers,row#8357 (Brittany generated),email,null email,initial
customers,row#8365 (Michael generated),email,null email,initial
customers,row#8366,phone,missing phone number,initial
customers,row#8378,phone,missing phone number,initial
customers,row#8387,phone,missing phone number,initial
customers,row#8391,phone,missing phone number,initial
customers,row#8392 (Jacob generated),email,null email,initial
customers,row#8401,phone,missing phone number,initial
customers,row#8405,phone,missing phone number,initial
customers,row#8429 (Patricia generated),email,null email,initial
customers,row#8443,phone,missing phone number,initial
customers,row#8466 (Cheryl generated),email,null email,initial
customers,row#8473,phone,missing phone number,initial
customers,row#8478 (James generated),email,null email,initial
customers,row#8479,phone,missing phone number,initial
customers,row#8493,phone,missing phone number,initial
customers,row#8502 (Alan generated),email,null email,initial
customers,row#8507,phone,missing phone number,initial
customers,row#8522,phone,missing phone number,initial
customers,row#8527,phone,missing phone number,initial
customers,row#8544 (Robert generated),email,null email,initial
customers,row#8556,phone,missing phone number,initial
customers,row#8570 (Cynthia generated),email,null email,initial
customers,row#8589 (Travis generated),email,null email,initial
customers,row#8596,phone,missing phone number,initial
customers,row#8604 (Frank generated),email,null email,initial
customers,row#8604,phone,missing phone number,initial
customers,row#8614 (Tyler generated),email,null email,initial
customers,row#8616,phone,missing phone number,initial
customers,row#8619,phone,missing phone number,initial
customers,row#8637,phone,missing phone number,initial
customers,row#8661 (Jessica generated),email,null email,initial
customers,row#8664 (Molly generated),email,null email,initial
customers,row#8666 (Christy generated),email,null email,initial
customers,row#8699 (Thomas generated),email,null email,initial
customers,row#8722 (Karen generated),email,null email,initial
customers,row#8723 (Ryan generated),email,null email,initial
customers,row#8745,phone,missing phone number,initial
customers,row#8753 (Manuel generated),email,null email,initial
customers,row#8756 (Eric generated),email,null email,initial
customers,row#8773,phone,missing phone number,initial
customers,row#8774,phone,missing phone number,initial
customers,row#8775 (Phillip generated),email,null email,initial
customers,row#8825 (David generated),email,null email,initial
customers,row#8828,phone,missing phone number,initial
customers,row#8833 (Raymond generated),email,null email,initial
customers,row#8841,phone,missing phone number,initial
customers,row#8843,phone,missing phone number,initial
customers,row#8851,phone,missing phone number,initial
customers,row#8852,phone,missing phone number,initial
customers,row#8888,phone,missing phone number,initial
customers,row#8892 (Phillip generated),email,null email,initial
customers,row#8894,phone,missing phone number,initial
customers,row#8903,phone,missing phone number,initial
customers,row#8904,phone,missing phone number,initial
customers,row#8906 (Matthew generated),email,null email,initial
customers,row#8927,phone,missing phone number,initial
customers,row#8941 (Katelyn generated),email,null email,initial
customers,row#8954,phone,missing phone number,initial
customers,row#8959 (John generated),email,null email,initial
customers,row#8971,phone,missing phone number,initial
customers,row#8988 (Wesley generated),email,null email,initial
customers,row#9006,phone,missing phone number,initial
customers,row#9025,phone,missing phone number,initial
customers,row#9031 (Cindy generated),email,null email,initial
customers,row#9074,phone,missing phone number,initial
customers,row#9078,phone,missing phone number,initial
customers,row#9092,phone,missing phone number,initial
customers,row#9096 (Stephen generated),email,null email,initial
customers,row#9104,phone,missing phone number,initial
customers,row#9116,phone,missing phone number,initial
customers,row#9142 (John generated),email,null email,initial
customers,row#9180,phone,missing phone number,initial
customers,row#9182 (Christopher generated),email,null email,initial
customers,row#9203,phone,missing phone number,initial
customers,row#9213,phone,missing phone number,initial
customers,row#9222,phone,missing phone number,initial
customers,row#9232 (Julie generated),email,null email,initial
customers,row#9232,phone,missing phone number,initial
customers,row#9233,phone,missing phone number,initial
customers,row#9240,phone,missing phone number,initial
customers,row#9244 (Michael generated),email,null email,initial
customers,row#9258 (Kelsey generated),email,null email,initial
customers,row#9266,phone,missing phone number,initial
customers,row#9285,phone,missing phone number,initial
customers,row#9292,phone,missing phone number,initial
customers,row#9294 (Diana generated),email,null email,initial
customers,row#9318,phone,missing phone number,initial
customers,row#9320 (Gabriela generated),email,null email,initial
customers,row#9347 (John generated),email,null email,initial
customers,row#9357,phone,missing phone number,initial
customers,row#9359,phone,missing phone number,initial
customers,row#9372 (Thomas generated),email,null email,initial
customers,row#9381,phone,missing phone number,initial
customers,row#9387,phone,missing phone number,initial
customers,row#9409,phone,missing phone number,initial
customers,row#9423,phone,missing phone number,initial
customers,row#9428 (Austin generated),email,null email,initial
customers,row#9429 (Julia generated),email,null email,initial
customers,row#9461 (Jeffrey generated),email,null email,initial
customers,row#9463,phone,missing phone number,initial
customers,row#9465,phone,missing phone number,initial
customers,row#9484,phone,missing phone number,initial
customers,row#9498,phone,missing phone number,initial
customers,row#9502,phone,missing phone number,initial
customers,row#9513,phone,missing phone number,initial
customers,row#9525 (Victor generated),email,null email,initial
customers,row#9526 (Alyssa generated),email,null email,initial
customers,row#9528 (Justin generated),email,null email,initial
customers,row#9546 (Megan generated),email,null email,initial
customers,row#9548,phone,missing phone number,initial
customers,row#9587 (David generated),email,null email,initial
customers,row#9594,phone,missing phone number,initial
customers,row#9597 (Lisa generated),email,null email,initial
customers,row#9602,phone,missing phone number,initial
customers,row#9604 (Michael generated),email,null email,initial
customers,row#9614,phone,missing phone number,initial
customers,row#9620 (Joshua generated),email,null email,initial
customers,row#9630,phone,missing phone number,initial
customers,row#9650 (Bryan generated),email,null email,initial
customers,row#9650,phone,missing phone number,initial
customers,row#9652,phone,missing phone number,initial
customers,row#9656 (Tony generated),email,null email,initial
customers,row#9658,phone,missing phone number,initial
customers,row#9671,phone,missing phone number,initial
customers,row#9676,phone,missing phone number,initial
customers,row#9677,phone,missing phone number,initial
customers,row#9708,phone,missing phone number,initial
customers,row#9714 (Katelyn generated),email,null email,initial
customers,row#9729,phone,missing phone number,initial
customers,row#9732 (Michael generated),email,null email,initial
customers,row#9732,phone,missing phone number,initial
customers,row#9745,phone,missing phone number,initial
customers,row#9758 (Jaime generated),email,null email,initial
customers,row#9778 (Angel generated),email,null email,initial
customers,row#9809,phone,missing phone number,initial
customers,row#9823 (Barry generated),email,null email,initial
customers,row#9829,phone,missing phone number,initial
customers,row#9839,phone,missing phone number,initial
customers,row#9867,phone,missing phone number,initial
customers,row#9882,phone,missing phone number,initial
customers,row#9897,phone,missing phone number,initial
customers,row#9898,phone,missing phone number,initial
customers,row#9923,phone,missing phone number,initial
customers,row#9974 (Anthony generated),email,null email,initial
customers,row#9975 (Mark generated),email,null email,initial
customers,row#9979,phone,missing phone number,initial
customers,row#9994 (Jonathan generated),email,null email,initial
customers,row#9996 (Angela generated),email,null email,initial
products,row#33,is_active,marked out-of-stock (inactive),initial
products,row#49,unit_price,negative price,initial
products,row#63,unit_price,negative price,initial
products,row#70,is_active,marked out-of-stock (inactive),initial
products,row#80,is_active,marked out-of-stock (inactive),initial
products,row#100,is_active,marked out-of-stock (inactive),initial
products,row#136,is_active,marked out-of-stock (inactive),initial
products,row#166,unit_cost,negative cost,initial
products,row#166,unit_price,negative price,initial
products,row#169,is_active,marked out-of-stock (inactive),initial
products,row#200,is_active,marked out-of-stock (inactive),initial
products,row#258,is_active,marked out-of-stock (inactive),initial
products,row#282,is_active,marked out-of-stock (inactive),initial
products,row#293,is_active,marked out-of-stock (inactive),initial
products,row#330,unit_cost,negative cost,initial
products,row#330,is_active,marked out-of-stock (inactive),initial
products,row#359,unit_price,negative price,initial
products,row#391,unit_price,negative price,initial
products,row#419,is_active,marked out-of-stock (inactive),initial
products,row#437,unit_price,negative price,initial
products,row#440,is_active,marked out-of-stock (inactive),initial
products,row#454,unit_price,negative price,initial
products,row#471,is_active,marked out-of-stock (inactive),initial
products,row#497,unit_price,negative price,initial
products,row#502,is_active,marked out-of-stock (inactive),initial
products,row#534,is_active,marked out-of-stock (inactive),initial
products,row#562,unit_cost,negative cost,initial
products,row#563,is_active,marked out-of-stock (inactive),initial
products,row#597,is_active,marked out-of-stock (inactive),initial
products,row#615,is_active,marked out-of-stock (inactive),initial
products,row#646,unit_cost,negative cost,initial
products,row#670,unit_cost,negative cost,initial
products,row#690,unit_cost,negative cost,initial
products,row#697,is_active,marked out-of-stock (inactive),initial
products,row#700,is_active,marked out-of-stock (inactive),initial
products,row#725,unit_price,negative price,initial
products,row#790,is_active,marked out-of-stock (inactive),initial
products,row#836,unit_cost,negative cost,initial
products,row#854,unit_cost,negative cost,initial
products,row#865,unit_price,negative price,initial
products,row#885,unit_cost,negative cost,initial
products,row#915,unit_cost,negative cost,initial
products,row#958,is_active,marked out-of-stock (inactive),initial
products,row#986,is_active,marked out-of-stock (inactive),initial
products,row#1047,is_active,marked out-of-stock (inactive),initial
products,row#1069,unit_price,negative price,initial
products,row#1104,is_active,marked out-of-stock (inactive),initial
products,row#1145,unit_price,negative price,initial
products,row#1151,is_active,marked out-of-stock (inactive),initial
products,row#1157,is_active,marked out-of-stock (inactive),initial
products,row#1190,is_active,marked out-of-stock (inactive),initial
products,row#1208,is_active,marked out-of-stock (inactive),initial
products,row#1228,unit_price,negative price,initial
products,row#1243,is_active,marked out-of-stock (inactive),initial
products,row#1245,unit_price,negative price,initial
products,row#1257,is_active,marked out-of-stock (inactive),initial
products,row#1270,unit_cost,negative cost,initial
products,row#1285,is_active,marked out-of-stock (inactive),initial
products,row#1303,is_active,marked out-of-stock (inactive),initial
products,row#1317,unit_cost,negative cost,initial
products,row#1332,unit_cost,negative cost,initial
products,row#1332,is_active,marked out-of-stock (inactive),initial
products,row#1340,is_active,marked out-of-stock (inactive),initial
products,row#1341,unit_price,negative price,initial
products,row#1344,is_active,marked out-of-stock (inactive),initial
products,row#1357,unit_cost,negative cost,initial
products,row#1365,is_active,marked out-of-stock (inactive),initial
products,row#1451,is_active,marked out-of-stock (inactive),initial
products,row#1455,is_active,marked out-of-stock (inactive),initial
products,row#1524,is_active,marked out-of-stock (inactive),initial
products,row#1543,unit_cost,negative cost,initial
products,row#1547,is_active,marked out-of-stock (inactive),initial
products,row#1549,is_active,marked out-of-stock (inactive),initial
products,row#1551,unit_cost,negative cost,initial
products,row#1557,is_active,marked out-of-stock (inactive),initial
products,row#1570,unit_price,negative price,initial
products,row#1584,unit_cost,negative cost,initial
products,row#1605,unit_price,negative price,initial
products,row#1632,is_active,marked out-of-stock (inactive),initial
products,row#1633,is_active,marked out-of-stock (inactive),initial
products,row#1644,is_active,marked out-of-stock (inactive),initial
products,row#1648,unit_price,negative price,initial
products,row#1664,is_active,marked out-of-stock (inactive),initial
products,row#1712,is_active,marked out-of-stock (inactive),initial
products,row#1716,unit_price,negative price,initial
products,row#1724,is_active,marked out-of-stock (inactive),initial
products,row#1768,is_active,marked out-of-stock (inactive),initial
products,row#1792,unit_cost,negative cost,initial
products,row#1804,unit_price,negative price,initial
products,row#1820,unit_price,negative price,initial
products,row#1828,is_active,marked out-of-stock (inactive),initial
products,row#1832,is_active,marked out-of-stock (inactive),initial
products,row#1852,unit_price,negative price,initial
products,row#1858,is_active,marked out-of-stock (inactive),initial
products,row#1863,is_active,marked out-of-stock (inactive),initial
products,row#1871,unit_price,negative price,initial
products,row#1894,is_active,marked out-of-stock (inactive),initial
products,row#1930,is_active,marked out-of-stock (inactive),initial
products,row#1950,unit_cost,negative cost,initial
products,row#1967,unit_cost,negative cost,initial
products,row#1986,unit_cost,negative cost,initial
order_items,order_id~73,unit_price_at_sale,negative line price,initial
order_items,order_id~209,unit_price_at_sale,negative line price,initial
order_items,order_id~281,unit_price_at_sale,negative line price,initial
order_items,order_id~300,unit_price_at_sale,negative line price,initial
order_items,order_id~321,unit_price_at_sale,negative line price,initial
order_items,order_id~535,unit_price_at_sale,negative line price,initial
order_items,order_id~852,unit_price_at_sale,negative line price,initial
order_items,order_id~919,unit_price_at_sale,negative line price,initial
order_items,order_id~1048,unit_price_at_sale,negative line price,initial
order_items,order_id~1116,unit_price_at_sale,negative line price,initial
order_items,order_id~1136,unit_price_at_sale,negative line price,initial
order_items,order_id~1139,unit_price_at_sale,negative line price,initial
order_items,order_id~1277,unit_price_at_sale,negative line price,initial
order_items,order_id~1284,unit_price_at_sale,negative line price,initial
order_items,order_id~1314,unit_price_at_sale,negative line price,initial
order_items,order_id~1333,unit_price_at_sale,negative line price,initial
order_items,order_id~1395,unit_price_at_sale,negative line price,initial
order_items,order_id~1539,unit_price_at_sale,negative line price,initial
order_items,order_id~1675,unit_price_at_sale,negative line price,initial
order_items,order_id~1773,unit_price_at_sale,negative line price,initial
order_items,order_id~1801,unit_price_at_sale,negative line price,initial
order_items,order_id~1822,unit_price_at_sale,negative line price,initial
order_items,order_id~2036,unit_price_at_sale,negative line price,initial
order_items,order_id~2195,unit_price_at_sale,negative line price,initial
order_items,order_id~2216,unit_price_at_sale,negative line price,initial
order_items,order_id~2377,unit_price_at_sale,negative line price,initial
order_items,order_id~2412,unit_price_at_sale,negative line price,initial
order_items,order_id~2483,unit_price_at_sale,negative line price,initial
order_items,order_id~2497,unit_price_at_sale,negative line price,initial
order_items,order_id~2561,unit_price_at_sale,negative line price,initial
order_items,order_id~2596,unit_price_at_sale,negative line price,initial
order_items,order_id~2714,unit_price_at_sale,negative line price,initial
order_items,order_id~2885,unit_price_at_sale,negative line price,initial
order_items,order_id~2961,unit_price_at_sale,negative line price,initial
order_items,order_id~3023,unit_price_at_sale,negative line price,initial
order_items,order_id~3090,unit_price_at_sale,negative line price,initial
order_items,order_id~3159,unit_price_at_sale,negative line price,initial
order_items,order_id~3222,unit_price_at_sale,negative line price,initial
order_items,order_id~3250,unit_price_at_sale,negative line price,initial
order_items,order_id~3272,unit_price_at_sale,negative line price,initial
order_items,order_id~3397,unit_price_at_sale,negative line price,initial
order_items,order_id~3427,unit_price_at_sale,negative line price,initial
order_items,order_id~3786,unit_price_at_sale,negative line price,initial
order_items,order_id~3808,unit_price_at_sale,negative line price,initial
order_items,order_id~3898,unit_price_at_sale,negative line price,initial
order_items,order_id~4105,unit_price_at_sale,negative line price,initial
order_items,order_id~4308,unit_price_at_sale,negative line price,initial
order_items,order_id~4451,unit_price_at_sale,negative line price,initial
order_items,order_id~4471,unit_price_at_sale,negative line price,initial
order_items,order_id~4567,unit_price_at_sale,negative line price,initial
order_items,order_id~4579,unit_price_at_sale,negative line price,initial
order_items,order_id~4602,unit_price_at_sale,negative line price,initial
order_items,order_id~4608,unit_price_at_sale,negative line price,initial
order_items,order_id~4799,unit_price_at_sale,negative line price,initial
order_items,order_id~4848,unit_price_at_sale,negative line price,initial
order_items,order_id~4958,unit_price_at_sale,negative line price,initial
order_items,order_id~5029,unit_price_at_sale,negative line price,initial
order_items,order_id~5114,unit_price_at_sale,negative line price,initial
order_items,order_id~5148,unit_price_at_sale,negative line price,initial
order_items,order_id~5165,unit_price_at_sale,negative line price,initial
order_items,order_id~5199,unit_price_at_sale,negative line price,initial
order_items,order_id~5206,unit_price_at_sale,negative line price,initial
order_items,order_id~5268,unit_price_at_sale,negative line price,initial
order_items,order_id~5337,unit_price_at_sale,negative line price,initial
order_items,order_id~5371,unit_price_at_sale,negative line price,initial
order_items,order_id~5372,unit_price_at_sale,negative line price,initial
order_items,order_id~5714,unit_price_at_sale,negative line price,initial
order_items,order_id~5760,unit_price_at_sale,negative line price,initial
order_items,order_id~5841,unit_price_at_sale,negative line price,initial
order_items,order_id~5905,unit_price_at_sale,negative line price,initial
order_items,order_id~5950,unit_price_at_sale,negative line price,initial
order_items,order_id~6295,unit_price_at_sale,negative line price,initial
order_items,order_id~6339,unit_price_at_sale,negative line price,initial
order_items,order_id~6420,unit_price_at_sale,negative line price,initial
order_items,order_id~6454,unit_price_at_sale,negative line price,initial
order_items,order_id~6528,unit_price_at_sale,negative line price,initial
order_items,order_id~6724,unit_price_at_sale,negative line price,initial
order_items,order_id~6812,unit_price_at_sale,negative line price,initial
order_items,order_id~6899,unit_price_at_sale,negative line price,initial
order_items,order_id~6927,unit_price_at_sale,negative line price,initial
order_items,order_id~6950,unit_price_at_sale,negative line price,initial
order_items,order_id~7005,unit_price_at_sale,negative line price,initial
order_items,order_id~7188,unit_price_at_sale,negative line price,initial
order_items,order_id~7189,unit_price_at_sale,negative line price,initial
order_items,order_id~7344,unit_price_at_sale,negative line price,initial
order_items,order_id~7355,unit_price_at_sale,negative line price,initial
order_items,order_id~7366,unit_price_at_sale,negative line price,initial
order_items,order_id~7410,unit_price_at_sale,negative line price,initial
order_items,order_id~7536,unit_price_at_sale,negative line price,initial
order_items,order_id~7566,unit_price_at_sale,negative line price,initial
order_items,order_id~7584,unit_price_at_sale,negative line price,initial
order_items,order_id~7597,unit_price_at_sale,negative line price,initial
order_items,order_id~7622,unit_price_at_sale,negative line price,initial
order_items,order_id~7673,unit_price_at_sale,negative line price,initial
order_items,order_id~7809,unit_price_at_sale,negative line price,initial
order_items,order_id~7865,unit_price_at_sale,negative line price,initial
order_items,order_id~7880,unit_price_at_sale,negative line price,initial
order_items,order_id~7927,unit_price_at_sale,negative line price,initial
order_items,order_id~7950,unit_price_at_sale,negative line price,initial
order_items,order_id~8047,unit_price_at_sale,negative line price,initial
order_items,order_id~8085,unit_price_at_sale,negative line price,initial
order_items,order_id~8281,unit_price_at_sale,negative line price,initial
order_items,order_id~8355,unit_price_at_sale,negative line price,initial
order_items,order_id~8374,unit_price_at_sale,negative line price,initial
order_items,order_id~8384,unit_price_at_sale,negative line price,initial
order_items,order_id~8397,unit_price_at_sale,negative line price,initial
order_items,order_id~8447,unit_price_at_sale,negative line price,initial
order_items,order_id~8524,unit_price_at_sale,negative line price,initial
order_items,order_id~8772,unit_price_at_sale,negative line price,initial
order_items,order_id~8785,unit_price_at_sale,negative line price,initial
order_items,order_id~8991,unit_price_at_sale,negative line price,initial
order_items,order_id~9009,unit_price_at_sale,negative line price,initial
order_items,order_id~9146,unit_price_at_sale,negative line price,initial
order_items,order_id~9259,unit_price_at_sale,negative line price,initial
order_items,order_id~9289,unit_price_at_sale,negative line price,initial
order_items,order_id~9331,unit_price_at_sale,negative line price,initial
order_items,order_id~9362,unit_price_at_sale,negative line price,initial
order_items,order_id~9400,unit_price_at_sale,negative line price,initial
order_items,order_id~9500,unit_price_at_sale,negative line price,initial
order_items,order_id~9510,unit_price_at_sale,negative line price,initial
order_items,order_id~9552,unit_price_at_sale,negative line price,initial
order_items,order_id~9641,unit_price_at_sale,negative line price,initial
order_items,order_id~9666,unit_price_at_sale,negative line price,initial
order_items,order_id~9741,unit_price_at_sale,negative line price,initial
order_items,order_id~9760,unit_price_at_sale,negative line price,initial
order_items,order_id~9764,unit_price_at_sale,negative line price,initial
order_items,order_id~9781,unit_price_at_sale,negative line price,initial
order_items,order_id~9793,unit_price_at_sale,negative line price,initial
order_items,order_id~10011,unit_price_at_sale,negative line price,initial
order_items,order_id~10058,unit_price_at_sale,negative line price,initial
order_items,order_id~10147,unit_price_at_sale,negative line price,initial
order_items,order_id~10252,unit_price_at_sale,negative line price,initial
order_items,order_id~10326,unit_price_at_sale,negative line price,initial
order_items,order_id~10376,unit_price_at_sale,negative line price,initial
order_items,order_id~10525,unit_price_at_sale,negative line price,initial
order_items,order_id~10544,unit_price_at_sale,negative line price,initial
order_items,order_id~10554,unit_price_at_sale,negative line price,initial
order_items,order_id~10587,unit_price_at_sale,negative line price,initial
order_items,order_id~10607,unit_price_at_sale,negative line price,initial
order_items,order_id~10708,unit_price_at_sale,negative line price,initial
order_items,order_id~10756,unit_price_at_sale,negative line price,initial
order_items,order_id~11046,unit_price_at_sale,negative line price,initial
order_items,order_id~11300,unit_price_at_sale,negative line price,initial
order_items,order_id~11364,unit_price_at_sale,negative line price,initial
order_items,order_id~11375,unit_price_at_sale,negative line price,initial
order_items,order_id~11399,unit_price_at_sale,negative line price,initial
order_items,order_id~11696,unit_price_at_sale,negative line price,initial
order_items,order_id~11743,unit_price_at_sale,negative line price,initial
order_items,order_id~11756,unit_price_at_sale,negative line price,initial
order_items,order_id~11843,unit_price_at_sale,negative line price,initial
order_items,order_id~11885,unit_price_at_sale,negative line price,initial
order_items,order_id~12076,unit_price_at_sale,negative line price,initial
order_items,order_id~12192,unit_price_at_sale,negative line price,initial
order_items,order_id~12225,unit_price_at_sale,negative line price,initial
order_items,order_id~12281,unit_price_at_sale,negative line price,initial
order_items,order_id~12285,unit_price_at_sale,negative line price,initial
order_items,order_id~12328,unit_price_at_sale,negative line price,initial
order_items,order_id~12430,unit_price_at_sale,negative line price,initial
order_items,order_id~12493,unit_price_at_sale,negative line price,initial
order_items,order_id~12499,unit_price_at_sale,negative line price,initial
order_items,order_id~12510,unit_price_at_sale,negative line price,initial
order_items,order_id~12705,unit_price_at_sale,negative line price,initial
order_items,order_id~12761,unit_price_at_sale,negative line price,initial
order_items,order_id~12801,unit_price_at_sale,negative line price,initial
order_items,order_id~12906,unit_price_at_sale,negative line price,initial
order_items,order_id~13089,unit_price_at_sale,negative line price,initial
order_items,order_id~13106,unit_price_at_sale,negative line price,initial
order_items,order_id~13233,unit_price_at_sale,negative line price,initial
order_items,order_id~13318,unit_price_at_sale,negative line price,initial
order_items,order_id~13463,unit_price_at_sale,negative line price,initial
order_items,order_id~13695,unit_price_at_sale,negative line price,initial
order_items,order_id~13708,unit_price_at_sale,negative line price,initial
order_items,order_id~13830,unit_price_at_sale,negative line price,initial
order_items,order_id~14328,unit_price_at_sale,negative line price,initial
order_items,order_id~14328,unit_price_at_sale,negative line price,initial
order_items,order_id~14522,unit_price_at_sale,negative line price,initial
order_items,order_id~14615,unit_price_at_sale,negative line price,initial
order_items,order_id~14752,unit_price_at_sale,negative line price,initial
order_items,order_id~14951,unit_price_at_sale,negative line price,initial
order_items,order_id~14991,unit_price_at_sale,negative line price,initial
order_items,order_id~15008,unit_price_at_sale,negative line price,initial
order_items,order_id~15103,unit_price_at_sale,negative line price,initial
order_items,order_id~15122,unit_price_at_sale,negative line price,initial
order_items,order_id~15182,unit_price_at_sale,negative line price,initial
order_items,order_id~15250,unit_price_at_sale,negative line price,initial
order_items,order_id~15272,unit_price_at_sale,negative line price,initial
order_items,order_id~15308,unit_price_at_sale,negative line price,initial
order_items,order_id~15329,unit_price_at_sale,negative line price,initial
order_items,order_id~15332,unit_price_at_sale,negative line price,initial
order_items,order_id~15391,unit_price_at_sale,negative line price,initial
order_items,order_id~15432,unit_price_at_sale,negative line price,initial
order_items,order_id~15608,unit_price_at_sale,negative line price,initial
order_items,order_id~15608,unit_price_at_sale,negative line price,initial
order_items,order_id~15909,unit_price_at_sale,negative line price,initial
order_items,order_id~15974,unit_price_at_sale,negative line price,initial
order_items,order_id~16070,unit_price_at_sale,negative line price,initial
order_items,order_id~16239,unit_price_at_sale,negative line price,initial
order_items,order_id~16393,unit_price_at_sale,negative line price,initial
order_items,order_id~16470,unit_price_at_sale,negative line price,initial
order_items,order_id~16495,unit_price_at_sale,negative line price,initial
order_items,order_id~16501,unit_price_at_sale,negative line price,initial
order_items,order_id~16605,unit_price_at_sale,negative line price,initial
order_items,order_id~16637,unit_price_at_sale,negative line price,initial
order_items,order_id~16693,unit_price_at_sale,negative line price,initial
order_items,order_id~17038,unit_price_at_sale,negative line price,initial
order_items,order_id~17050,unit_price_at_sale,negative line price,initial
order_items,order_id~17054,unit_price_at_sale,negative line price,initial
order_items,order_id~17057,unit_price_at_sale,negative line price,initial
order_items,order_id~17099,unit_price_at_sale,negative line price,initial
order_items,order_id~17181,unit_price_at_sale,negative line price,initial
order_items,order_id~17218,unit_price_at_sale,negative line price,initial
order_items,order_id~17334,unit_price_at_sale,negative line price,initial
order_items,order_id~17339,unit_price_at_sale,negative line price,initial
order_items,order_id~17499,unit_price_at_sale,negative line price,initial
order_items,order_id~17508,unit_price_at_sale,negative line price,initial
order_items,order_id~17550,unit_price_at_sale,negative line price,initial
order_items,order_id~17657,unit_price_at_sale,negative line price,initial
order_items,order_id~17734,unit_price_at_sale,negative line price,initial
order_items,order_id~17811,unit_price_at_sale,negative line price,initial
order_items,order_id~18025,unit_price_at_sale,negative line price,initial
order_items,order_id~18059,unit_price_at_sale,negative line price,initial
order_items,order_id~18103,unit_price_at_sale,negative line price,initial
order_items,order_id~18270,unit_price_at_sale,negative line price,initial
order_items,order_id~18318,unit_price_at_sale,negative line price,initial
order_items,order_id~18335,unit_price_at_sale,negative line price,initial
order_items,order_id~18447,unit_price_at_sale,negative line price,initial
order_items,order_id~18511,unit_price_at_sale,negative line price,initial
order_items,order_id~18992,unit_price_at_sale,negative line price,initial
order_items,order_id~19029,unit_price_at_sale,negative line price,initial
order_items,order_id~19050,unit_price_at_sale,negative line price,initial
order_items,order_id~19079,unit_price_at_sale,negative line price,initial
order_items,order_id~19080,unit_price_at_sale,negative line price,initial
order_items,order_id~19150,unit_price_at_sale,negative line price,initial
order_items,order_id~19201,unit_price_at_sale,negative line price,initial
order_items,order_id~19277,unit_price_at_sale,negative line price,initial
order_items,order_id~19295,unit_price_at_sale,negative line price,initial
order_items,order_id~19314,unit_price_at_sale,negative line price,initial
order_items,order_id~19325,unit_price_at_sale,negative line price,initial
order_items,order_id~19346,unit_price_at_sale,negative line price,initial
order_items,order_id~19483,unit_price_at_sale,negative line price,initial
order_items,order_id~19501,unit_price_at_sale,negative line price,initial
order_items,order_id~19539,unit_price_at_sale,negative line price,initial
order_items,order_id~19723,unit_price_at_sale,negative line price,initial
order_items,order_id~19780,unit_price_at_sale,negative line price,initial
order_items,order_id~19920,unit_price_at_sale,negative line price,initial
order_items,order_id~20013,unit_price_at_sale,negative line price,initial
order_items,order_id~20097,unit_price_at_sale,negative line price,initial
order_items,order_id~20137,unit_price_at_sale,negative line price,initial
order_items,order_id~20247,unit_price_at_sale,negative line price,initial
order_items,order_id~20251,unit_price_at_sale,negative line price,initial
order_items,order_id~20252,unit_price_at_sale,negative line price,initial
order_items,order_id~20309,unit_price_at_sale,negative line price,initial
order_items,order_id~20440,unit_price_at_sale,negative line price,initial
order_items,order_id~20466,unit_price_at_sale,negative line price,initial
order_items,order_id~20675,unit_price_at_sale,negative line price,initial
order_items,order_id~20717,unit_price_at_sale,negative line price,initial
order_items,order_id~20802,unit_price_at_sale,negative line price,initial
order_items,order_id~20805,unit_price_at_sale,negative line price,initial
order_items,order_id~20832,unit_price_at_sale,negative line price,initial
order_items,order_id~20851,unit_price_at_sale,negative line price,initial
order_items,order_id~20927,unit_price_at_sale,negative line price,initial
order_items,order_id~20944,unit_price_at_sale,negative line price,initial
order_items,order_id~20949,unit_price_at_sale,negative line price,initial
order_items,order_id~20966,unit_price_at_sale,negative line price,initial
